"ПРАЙС ЛИСТ НА ХИМИЧЕСКИЕ РЕАГЕНТЫ  ДЛЯ ДЕЗИНФЕКЦИИ ВОДЫ В БАССЕЙНЕ ""АКВА ХИМИЯ""                                      тел: +996(555)33-66-11 г.Бишкек ул. Калыя Молдобасанова ,13а";;;
Наименование;ед.изм;Цена ,сом;Фото
"Насос JSP3-550 5.5HP,380V,50HZ/60HZ,2.5"",3"",4"" port ,4 кВт, от 20 м3 до 84 м3 Н8-16м";шт;38 000 сом;
"Воздушный компрессор Aluminium alloy Air
Blower(more model pls
contact us  1,3 кВт";шт;23 600 сом;
"Воздушный компрессор Aluminium alloy Air
Blower(more model pls
contact us  1,5 кВт";шт;28 000 сом;
Воздушный компрессор JAB2-700 700W,220V,0.8m?/Min,Low Voice,Double Speed ;шт;9 200 сом;
Воздушный компрессор JAB2-900 900W,220V,0.8m?/Min,Low Voice,Double Speed;шт;9 800 сом;
Нагреватель Pahlen 6 кВТ;шт;40 000 сом;
Нагреватель Pahlen 9 кВТ;шт;43 000 сом;
Нагреватель Pahlen 12 кВТ;шт;45 000 сом;
Нагреватель Pahlen 15 кВТ;шт;48 000 сом;
Нагреватель Pahlen 18 кВТ;шт;50 000 сом;
Фильтр обмотанный верхнее подключение JFT3-400 diameter:400mm. Flow rate:6m?/h Connection:1.5'';шт;16 100 сом;
Фильтр обмотанный верхнее подключение  JFT3-500 diameter:500mm. Flow rate:10m?/h Connection:1.5;шт;21 400 сом;
Фильтр обмотанный верхнее подключение  JFT3-650 diameter:650mm. Flow rate:17m?/h Connection:1.5'' ;шт;25 000 сом;
Фильтр обмотанный верхнее подключение  JFT3-750 diameter:750mm. Flow rate:22m?/h Connection:2'' ;шт;34 500 сом;
Фильтр обмотанный верхнее подключение  JFT3-900 diameter:900mm. Flow rate:30m?/h Connection:2'' ;шт;42 900 сом;
Кварцевый песок 0,4мм - 0,9мм ,мешок 25 кг;кг;55 сом;
Кварцевый песок 1мм - 3мм ,мешок 25кг;кг;55 сом;
Клапан для фильтра Top mount valve JFT3-V15 ;шт;9 000 сом;
Клапан для фильтраTop mount valve  JFT3-V20;шт;9 800 сом;
Генератор хлора JSC1 PLUS-8 8g/h about 35m?pool ;шт;35 000 сом;
Генератор хлора JSC1 PLUS-12 12g/h about 50m?pool ;шт;37 800 сом;
Генератор хлора JSC1 PLUS-20 20g/h about 85m?pool ;шт;46 400 сом;
Генератор хлора JSC3-50 50g/h,2 in 1 Chlorinator,chlorine&light.(solar;шт;88 500 сом;
Противоток 3 кВт;шт;112 400 сом;
ТеплообменикJHE135 40kw?304 ;шт;9 400 сом;
Теплообменик JHE260 75kw?304 ;шт;12 200 сом;
Теплообменик JHE400 120kw?304;шт;16 300 сом;
Прожектор накладной под нержавейку JLL1-18W Material:stainless steel 18w,DN23CM,blue/white/rgb ;шт;4 500 сом;
Прожектор накладной пластик JLL12-18W Material:ABS,DN23CM,18w ;шт;4 000 сом;
"Прожектор встраиваемый JLL32-290-Recessed liner pool light
25w RGB
HS code: 8539510000";шт;8 000 сом;
Запасная лампа для прожектора JPAR56-25W , Led;шт;3 600 сом;
Запасная лампа для прожектора JPAR56-300W , галоген;шт;2 700 сом;
Трансформатор JLLT-300 300W/12V/AC,(24V optional) ;шт;6 000 сом;
Трансформатор JLLT-30 30W/12V/AC,(24V optional)  ;шт;2 000 сом;
Насадка пылесоса трехугольная ;шт;1 200 сом;
Насадка пылесоса алюминиевая;шт;2 300 сом;
Сачек поверхностный ;шт;500 сом;
Сачек поверхностный с ручкой;шт;1 400 сом;
Сачек донный ;шт;600 сом;
Диспенсер для таблеток хлора ;шт;300 сом;
Насадка пылесоса стандарт  для пленки ;шт;1 700 сом;
Спасательный круг большой ;шт;2 000 сом;
Спасательный круг маленький;шт;1 700 сом;
"Шланг для пылесоса JCT7-7.5M Sprial wound EVA vacuum hose 1.5""x25' (38mm x7.5m) ";шт;2 300 сом;
"Шланг для пылесоса JCT7-9M Sprial wound EVA vacuum hose 1.5""x30' (38mm x9m) ";шт;2 600 сом;
"Шланг для пылесоса JCT7-12M Sprial wound EVA vacuum hose 1.5""x40' (38mm x12m)";шт;3 500 сом;
"Шланг для пылесоса JCT7-15M Sprial wound EVA vacuum hose 1.5""x50' (38mm x15m)";шт;4 300 сом;
Телескопическая ручка JCT8-480 2X240 cm Ribbed pole - 1.1mm thick (Color:Blue,Silver;шт;2 000 сом;
Телескопическая ручка JCT8-900 3X300 cm Ribbed pole - 1.1mm thick (Color:Blue,Silver);шт;3 700 сом;
Тестер CL/PH;шт;500 сом;
Термометр круглый большой циферблат;шт;2 000 сом;
Термометр утка,дельфин , черепаха;шт;800 сом;
Термометр плавающий ;шт;600 сом;
Щетка 25 см;шт;1 600 сом;
Лестница нерж. 3 ст. JL1-3S Stainless steel 316,3 steps,1.0mm;шт;12 000 сом;
Лестница нерж. 4 ст.JL1-4S Stainless steel 316,4 steps,1.0mm ;шт;13 500 сом;
Лестница нерж. 5 ст.JL1-5S Stainless steel 316,5 steps,1.0mm ;шт;15 000 сом;
Форсунка стеновая в пленку ;шт;650 сом;
Донный слив в пленку ;шт;2 500 сом;
Форсунка пылесоса ;шт;2 500 сом;
Монтажная коробка ;шт;500 сом;
Форсунка донная ;шт;700 сом;
Скиммер узкий в бетонSwimming Pool Skimmer JPA29;шт;3 900 сом;
Скиммер узкий в пленку Swimming Pool Skimmer ?liner pool) JPA32 for Liner Pool;шт;5 100 сом;
Скиммер средний в пленку Swimming Pool Skimmer?liner pool) JPA33 for Liner Pool;шт;7 000 сом;
Скиммер средний в пленку Swimming Pool Skimmer JPA111 38*38*43cm,liner pool ;шт;5 500 сом;
Переливная решетка high quality PP Steady Grating JPA42-20 20cm;м,п;900 сом;
Переливная решетка high quality PP Steady Grating PA42-25 25cm ;м,п;1 100 сом;
Водопад Кобра нерж. 600 мм Waterfall Nozzle JPA64-600 SS304,Height:1100mm open mouth width?600mm;шт;54 300 сом;
Водопад Waterfall Nozzle JPA66 SS304,Height:920mm open mouth width:500mm ;шт;50 600 сом;
Водопад Waterfall Nozzle JPA68 SS304,Height:600mm open mouth width:400mm;шт;24 400 сом;
Водопад Кобра акрил с подсветкой Acrylic Waterfall Nozzle with RGB JPA99-650 H650*W300/12W/DC12V/Inlet 46mm ;шт;40 500 сом;
Плато аэромассажное Square bubble plate JPA69 diameter:300mm ;шт;4 200 сом;
 Плато аэромассажное Square floating bath board JPA70 350*350mm ;шт;7 200 сом;
Пленка ПВХ Pool Liner 1.5mm colour цвет Adriatic blue 2м * 25 м;шт;1 400 сом;
Пленка ПВХ Pool Liner 1.5mm colour цвет Мозайка 2м * 25 м;шт;1 600 сом;
Пленка ПВХ Pool Liner 1.5mm colour цвет голубой антислип 2м * 25 м;шт;2 000 сом;
;;;
С учётом скидки ;;;
Доставка ;;;
Итого общая сумма ;;;
Таможенные платежи, разгрузка;;;
Сертификаты и письма;;;
Геотекстиль ;м2;200 сом;
Крепежная рейка для пвх пленки;шт;700 сом;
Уплотнительня масса, жидкий пвх;шт;6 700 сом;
Уголок 45/50;шт;200 сом;
Уголок 45/63;шт;450 сом;
Уголок 45/75;шт;270 сом;
Уголок 90/50;шт;200 сом;
Уголок 90/63;шт;450 сом;
Уголок 90/75;шт;600 сом;
Муфта 50;шт;150 сом;
Муфта 63;шт;200 сом;
Муфта 75;шт;400 сом;
Тройник 50;шт;270;
Тройник 63 ;шт;530;
Тройник 75;шт;640;
Переходник 50 1,2 внутр.резьба;шт;200;
Переходник 50 1,2 нар.резьба;шт;200;
Переходник 63 2 внутр.резьба;шт;250;
Переходник 63 2 нар.резьба;шт;250;
Разъем 50 х 1,5 нар.резьба;шт;1000;
Разъем 63 х 2 нар.резьба;шт;2600;
Шаровый кран 50;шт;2350;
Шаровый кран 63;шт;4050;
Шаровый кран 75;шт;7660;
Клей для труб 118 мл;шт;800;
Клей для труб 237 мл;шт;1000;
Клей для труб 473 мл;шт;2000;
Клей для труб 1 л;шт;2500;
Обратный клапан 50 ;шт;1650;
Обратный клапан 63;шт;2260;
